品牌索引,品牌名称,车系名称,品牌ID,车系ID,汽车型号,发动机型号,气缸数,气缸排列形式,气门数,排量,环保标准,燃料形式,燃油标号,变速箱,上市时间,整车质保,座位数（个）
A,奥迪,一汽-大众奥迪,33,2951,Q3 2018款 35 TFSI 时型典藏 27.98万,,4,L,4,1984,V,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2018款 35 TFSI 运动型典藏 30.16万,,4,L,4,1984,V,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 40 TFSI 荣享进取型 V 38.28万,CWN,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 40 TFSI 荣享进取型 VI 38.28万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 40 TFSI 荣享时型 V 41.38万,CWN,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 40 TFSI 荣享时型 VI 41.38万,DKU,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享时型 V 44.52万,CWP,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享时型 VI 44.52万,,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享雅型 V 47.50万,CWP,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享雅型 VI 47.50万,,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享运动型 V 47.09万,CWP,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享运动型 VI 47.09万,,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享运动型 V 49.80万,CWP,4,L,4,1984,V,汽油,95,7挡双离合,2018.07,三10万公里,5
A,奥迪,一汽-大众奥迪,33,4851,Q5L 2018款 45 TFSI 尊享运动型 VI 49.80万,,4,L,4,1984,VI,汽油,95,7挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,812,Q5 2018款 典藏 40 TFSI 进取型 39.64万,,4,L,4,1984,V,汽油,95,8挡手自一体,2018.05,三10万公里,5
A,奥迪,一汽-大众奥迪,33,812,Q5 2018款 典藏 40 TFSI 技术型 42.37万,,4,L,4,1984,V,汽油,95,8挡手自一体,2018.05,三10万公里,5
A,奥迪,Audi Sport,33,511,R8 2017款 V10 Coupe 195.28万,,10,V,4,5204,V,汽油,95,7挡双离合,2017.06,三10万公里,2
A,奥迪,Audi Sport,33,511,R8 2017款 V10 Spyder 213.68万,,10,V,4,5204,V,汽油,95,7挡双离合,2017.06,三10万公里,2
A,奥迪,Audi Sport,33,511,R8 2016款 V10 Coupe Performance 229.98万,,10,V,4,5204,V,汽油,95,7挡双离合,2016.07,三10万公里,2
A,奥迪,Audi Sport,33,2731,RS 3 2017款 RS 3 2.5T Limousine 51.38万,,5,L,4,2480,V,汽油,95,7挡双离合,2017.09,三10万公里,5
A,奥迪,Audi Sport,33,2733,RS 4 2019款 RS 4 2.9T Avant 82.28万,,6,V,4,2894,V,汽油,95,8挡手自一体,2019.03,三10万公里,5
A,奥迪,Audi Sport,33,2737,RS 6 2018款 RS 6 4.0T Avant尊享运动限量 135.78万,,8,V,4,3993,V,汽油,95,8挡手自一体,2018.04,三10万公里,5
A,奥迪,Audi Sport,33,2994,RS 7 2016款 RS 7 4.0T Sportback performance 153.98万,,8,V,4,3993,V,汽油,95,8挡手自一体,2016.07,三10万公里,4
A,奥迪,Audi Sport,33,2741,TT RS 2017款 TT RS 2.5T Coupe 76.98万,,5,L,4,2480,V,汽油,95,7挡双离合,2017.09,三10万公里,4
A,奥迪,奥迪(进口),33,370,A3() 2017款 Cabriolet 40 TFSI 33.58万,,4,L,4,1984,V,汽油,95,7挡双离合,2017.04,三10万公里,4
