2019-06-28 17:07:46,174 | Spider | INFO  | [MU5294]航班已处理
2019-06-28 17:07:46,211 | Spider | INFO  | [SQ807]航班已处理
2019-06-28 17:07:46,269 | Spider | INFO  | [CX331]航班已处理
2019-06-28 17:07:46,307 | Spider | INFO  | [DL188]航班已处理
2019-06-28 17:07:49,358 | Spider | INFO  | [大连]：机场航班信息获取中...
2019-06-28 17:07:57,995 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:08:03,418 | Spider | INFO  | <font color="green">[CZ6514]航班延误时间计算中...</font>
2019-06-28 17:08:03,756 | Spider | INFO  | CZ6514 武汉 15:25 17:19
2019-06-28 17:08:03,758 | Spider | INFO  | <font color="red">机场[大连]航班号[CZ6514]出发地[大连]目的地[武汉]延误时间[114],不符合条件</font>
2019-06-28 17:08:03,940 | Spider | INFO  | <font color="green">[CZ3986]航班延误时间计算中...</font>
2019-06-28 17:08:04,203 | Spider | INFO  | CZ3986 南京 16:25 17:19
2019-06-28 17:08:04,204 | Spider | INFO  | <font color="red">机场[大连]航班号[CZ3986]出发地[大连]目的地[南京]延误时间[54],不符合条件</font>
2019-06-28 17:08:04,258 | Spider | INFO  | <font color="green">[8L9892]航班延误时间计算中...</font>
2019-06-28 17:08:04,448 | Spider | INFO  | 8L9892 武汉 16:55 17:44
2019-06-28 17:08:04,450 | Spider | INFO  | <font color="red">机场[大连]航班号[8L9892]出发地[大连]目的地[武汉]延误时间[49],不符合条件</font>
2019-06-28 17:08:04,495 | Spider | INFO  | <font color="green">[GS7826]航班延误时间计算中...</font>
2019-06-28 17:08:07,388 | Spider | INFO  | GS7826 天津 17:40 18:00
2019-06-28 17:08:07,389 | Spider | INFO  | <font color="red">机场[大连]航班号[GS7826]出发地[大连]目的地[天津]延误时间[20],不符合条件</font>
2019-06-28 17:08:07,472 | Spider | INFO  | <font color="green">[MF8086]航班延误时间计算中...</font>
2019-06-28 17:08:07,619 | Spider | INFO  | MF8086 南京 18:55 20:15
2019-06-28 17:08:07,620 | Spider | INFO  | <font color="red">机场[大连]航班号[MF8086]出发地[大连]目的地[南京]延误时间[80],不符合条件</font>
2019-06-28 17:08:07,621 | Spider | INFO  | 更新航班记录成功!
2019-06-28 17:08:07,621 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:08:10,642 | Spider | INFO  | [杭州萧山]：机场航班信息获取中...
2019-06-28 17:08:19,461 | Spider | INFO  | <font color="red">航班延误时间计算中,请稍后...</font>
2019-06-28 17:08:36,146 | Spider | INFO  | <font color="green">[HU7411]航班延误时间计算中...</font>
2019-06-28 17:08:36,275 | Spider | INFO  | HU7411 呼和浩特 14:30 18:01
2019-06-28 17:08:36,276 | Spider | INFO  | <font color="green">content:机场[杭州萧山]航班号[HU7411]出发地[杭州萧山]目的地[呼和浩特]延误时间[211]</font>
2019-06-28 17:08:39,264 | Spider | INFO  | <font color="green">[CA1785]航班延误时间计算中...</font>
2019-06-28 17:08:39,805 | Spider | INFO  | CA1785 银川 15:05 17:21
2019-06-28 17:08:39,806 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[CA1785]出发地[杭州萧山]目的地[银川]延误时间[136],不符合条件</font>
2019-06-28 17:08:39,851 | Spider | INFO  | <font color="green">[MU5583]航班延误时间计算中...</font>
2019-06-28 17:08:40,114 | Spider | INFO  | MU5583 武汉 15:25 17:45
2019-06-28 17:08:40,115 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[MU5583]出发地[杭州萧山]目的地[武汉]延误时间[140],不符合条件</font>
2019-06-28 17:08:40,179 | Spider | INFO  | <font color="green">[NX225]航班延误时间计算中...</font>
2019-06-28 17:08:40,495 | Spider | INFO  | NX225 澳门 15:25 17:30
2019-06-28 17:08:40,496 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[NX225]出发地[杭州萧山]目的地[澳门]延误时间[125],不符合条件</font>
2019-06-28 17:08:40,613 | Spider | INFO  | <font color="green">[CZ6920]航班延误时间计算中...</font>
2019-06-28 17:08:40,938 | Spider | INFO  | CZ6920 乌鲁木齐 15:40 18:48
2019-06-28 17:08:40,938 | Spider | INFO  | <font color="green">content:机场[杭州萧山]航班号[CZ6920]出发地[杭州萧山]目的地[乌鲁木齐]延误时间[188]</font>
2019-06-28 17:08:41,323 | Spider | INFO  | <font color="green">[KA621]航班延误时间计算中...</font>
2019-06-28 17:08:41,531 | Spider | INFO  | KA621 香港 15:50 17:21
2019-06-28 17:08:41,531 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[KA621]出发地[杭州萧山]目的地[香港]延误时间[91],不符合条件</font>
2019-06-28 17:08:41,572 | Spider | INFO  | <font color="green">[GJ8779]航班延误时间计算中...</font>
2019-06-28 17:08:44,821 | Spider | INFO  | GJ8779 汉中 15:55 19:07
2019-06-28 17:08:44,822 | Spider | INFO  | <font color="green">content:机场[杭州萧山]航班号[GJ8779]出发地[杭州萧山]目的地[汉中]延误时间[192]</font>
2019-06-28 17:08:45,281 | Spider | INFO  | <font color="green">[GS7470]航班延误时间计算中...</font>
2019-06-28 17:08:45,437 | Spider | INFO  | GS7470 西安 16:10 17:41
2019-06-28 17:08:45,437 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[GS7470]出发地[杭州萧山]目的地[西安]延误时间[91],不符合条件</font>
2019-06-28 17:08:45,484 | Spider | INFO  | <font color="green">[CZ3758]航班延误时间计算中...</font>
2019-06-28 17:08:45,689 | Spider | INFO  | CZ3758 南宁 16:20 17:19
2019-06-28 17:08:45,699 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[CZ3758]出发地[杭州萧山]目的地[南宁]延误时间[59],不符合条件</font>
2019-06-28 17:08:45,784 | Spider | INFO  | <font color="green">[FM9351]航班延误时间计算中...</font>
2019-06-28 17:08:45,982 | Spider | INFO  | FM9351 广州 16:35 17:32
2019-06-28 17:08:45,982 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[FM9351]出发地[杭州萧山]目的地[广州]延误时间[57],不符合条件</font>
2019-06-28 17:08:46,104 | Spider | INFO  | <font color="green">[CZ8190]航班延误时间计算中...</font>
2019-06-28 17:08:46,407 | Spider | INFO  | CZ8190 重庆 16:35 17:21
2019-06-28 17:08:46,408 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[CZ8190]出发地[杭州萧山]目的地[重庆]延误时间[46],不符合条件</font>
2019-06-28 17:08:46,481 | Spider | INFO  | <font color="green">[CZ6382]航班延误时间计算中...</font>
2019-06-28 17:08:49,519 | Spider | INFO  | CZ6382 贵阳 16:50 17:30
2019-06-28 17:08:49,519 | Spider | INFO  | <font color="red">机场[杭州萧山]航班号[CZ6382]出发地[杭州萧山]目的地[贵阳]延误时间[40],不符合条件</font>
2019-06-28 17:08:49,732 | Spider | INFO  | <font color="green">[JD5164]航班延误时间计算中...</font>
