省级区域代码,省,拼音,省ID,市级区域代码,市,拼音,市ID,城市级别
S,上海,shanghai,310000,S,上海,shanghai,310100,1
S,四川,sichuan,510000,C,成都,chengdu,510100,2
S,四川,sichuan,510000,Z,自贡,zigong,510300,3
S,四川,sichuan,510000,P,攀枝花,panzhihua,510400,3
S,四川,sichuan,510000,L,泸州,luzhou,510500,3
S,四川,sichuan,510000,D,德阳,deyang,510600,3
S,四川,sichuan,510000,M,绵阳,mianyang,510700,3
S,四川,sichuan,510000,G,广元,guangyuan,510800,3
S,四川,sichuan,510000,S,遂宁,suining,510900,3
S,四川,sichuan,510000,N,内江,neijiang,511000,3
S,四川,sichuan,510000,L,乐山,leshan,511100,3
S,四川,sichuan,510000,N,南充,nanchong,511300,3
S,四川,sichuan,510000,M,眉山,meishan,511400,3
S,四川,sichuan,510000,Y,宜宾,yibin,511500,3
S,四川,sichuan,510000,G,广安,guangan,511600,3
S,四川,sichuan,510000,D,达州,dazhou,511700,3
S,四川,sichuan,510000,Y,雅安,yaan,511800,3
S,四川,sichuan,510000,B,巴中,bazhong,511900,3
S,四川,sichuan,510000,Z,资阳,ziyang,512000,3
S,四川,sichuan,510000,L,凉山,liangshan,513400,3
S,陕西,shan_xi,610000,X,西安,xian,610100,2
S,陕西,shan_xi,610000,B,宝鸡,baoji,610300,3
S,陕西,shan_xi,610000,X,咸阳,xianyang,610400,3
S,陕西,shan_xi,610000,W,渭南,weinan,610500,3
S,陕西,shan_xi,610000,Y,延安,yanan,610600,3
S,陕西,shan_xi,610000,H,汉中,hanzhong,610700,3
S,陕西,shan_xi,610000,Y,榆林,yulin,610800,3
S,陕西,shan_xi,610000,A,安康,ankang,610900,3
S,陕西,shan_xi,610000,T,铜川,tongchuan,610200,4
S,陕西,shan_xi,610000,S,商洛,shangluo,611000,4
T,天津,tianjin,120000,T,天津,tianjin,120100,2
X,西藏,xizang,540000,L,拉萨,lasa,540100,3
X,西藏,xizang,540000,R,日喀则,rikaze,540200,4
X,新疆,xinjiang,650000,W,乌鲁木齐,wulumuqi,650100,2
X,新疆,xinjiang,650000,C,昌吉,changji,652300,3
X,新疆,xinjiang,650000,B,巴音郭楞,bayinguoleng,652800,3
X,新疆,xinjiang,650000,A,阿克苏,akesu,652900,3
X,新疆,xinjiang,650000,K,喀什,kashen,653100,3
X,新疆,xinjiang,650000,Y,伊犁,yili,654000,3
X,新疆,xinjiang,650000,K,克拉玛依,kelamayi,650200,4
X,新疆,xinjiang,650000,T,吐鲁番,tulufan,650400,4
X,新疆,xinjiang,650000,H,哈密,hami,650500,4
X,新疆,xinjiang,650000,H,和田,hetian,653200,4
X,新疆,xinjiang,650000,T,塔城,tacheng,654200,4
X,新疆,xinjiang,650000,A,阿勒泰,aletai,654300,4
X,新疆,xinjiang,650000,S,石河子,shihezi,659001,4
X,新疆,xinjiang,650000,A,阿拉尔,alaer,659002,4
X,新疆,xinjiang,650000,T,图木舒克,tumushuke,659003,4
X,新疆,xinjiang,650000,W,五家渠,wujiaqu,659004,4
Y,云南,yunnan,530000,K,昆明,kunming,530100,2
Y,云南,yunnan,530000,W,文山,wenshan,532600,2
Y,云南,yunnan,530000,D,大理,dali,532900,2
Y,云南,yunnan,530000,Q,曲靖,qujing,530300,3
Y,云南,yunnan,530000,Y,玉溪,yuxi,530400,3
Y,云南,yunnan,530000,L,丽江,lijiang,530700,3
Y,云南,yunnan,530000,L,临沧,lincang,530900,3
Y,云南,yunnan,530000,C,楚雄,chuxiong,532300,3
Y,云南,yunnan,530000,H,红河,honghe,532500,3
Y,云南,yunnan,530000,X,西双版纳,xishuangbanna,532800,3
Y,云南,yunnan,530000,B,保山,baoshan,530500,4
Y,云南,yunnan,530000,Z,昭通,zhaotong,530600,4
Y,云南,yunnan,530000,P,普洱,puer,530800,4
Y,云南,yunnan,530000,D,德宏,dehong,533100,4
Y,云南,yunnan,530000,D,迪庆,diqing,533400,4
Z,浙江,zhejiang,330000,H,杭州,hangzhou,330100,2
Z,浙江,zhejiang,330000,N,宁波,ningbo,330200,2
Z,浙江,zhejiang,330000,W,温州,wenzhou,330300,2
Z,浙江,zhejiang,330000,J,嘉兴,jiaxing,330400,2
Z,浙江,zhejiang,330000,S,绍兴,shaoxing,330600,2
Z,浙江,zhejiang,330000,J,金华,jinhua,330700,2
Z,浙江,zhejiang,330000,T,台州,taizhou,331000,2
Z,浙江,zhejiang,330000,H,湖州,huzhou,330500,3
Z,浙江,zhejiang,330000,Q,衢州,quzhou,330800,3
Z,浙江,zhejiang,330000,Z,舟山,zhoushan,330900,3
Z,浙江,zhejiang,330000,L,丽水,lishui,331100,3
